sigma,N,rule,window,replicate,seed,MSE,PSNR,laplacian_variance,dct_hf_energy,selection_entropy,selection_entropy_normalized,clipping_fraction
0.02,8,maxfocus,3,79,148504518,0.0006488099740764886,31.87882482389555,0.016749970053724805,0.0013823977502379105,2.0793119022194695,0.9999376565978086,0.0
0.02,8,maxfocus,7,79,148504518,0.000495850740526533,33.0464903383453,0.01156348632957543,0.0009876765540422314,2.079058906262431,0.9998159912602806,0.0
0.02,8,single,NA,80,1370993811,0.00039893374368887965,33.99099227470355,0.00833273427941341,0.000738097664177506,NA,NA,0.0
0.02,8,mean,NA,80,1370993811,5.0091866292318945e-05,43.00232787329121,0.0014029947135584496,0.00010822153904839749,NA,NA,0.0
0.02,8,maxfocus,3,80,1370993811,0.0006506465596570905,31.866548622366846,0.016844291664704813,0.0013866658086890335,2.079333994716994,0.9999482808433486,0.0
0.02,8,maxfocus,7,80,1370993811,0.0004954033078655528,33.05041097905692,0.011567174221261335,0.0009900512672419233,2.0789718777840753,0.9997741394089006,0.0
0.02,8,single,NA,81,868134532,0.00040094160007127184,33.969188807808955,0.008371951905920933,0.0007390777089996631,NA,NA,0.0
0.02,8,mean,NA,81,868134532,5.005535404476042e-05,43.005494624856695,0.0013924600575027646,0.00010740889923282968,NA,NA,0.0
0.02,8,maxfocus,3,81,868134532,0.0006510870364598262,31.863609516351513,0.016826629463105133,0.0013852610288665162,2.079235775488181,0.9999010473785723,0.0
0.02,8,maxfocus,7,81,868134532,0.0004966839217024189,33.03919898448377,0.011579510799593488,0.0009889977227027676,2.078514293659855,0.9995540879599665,0.0
0.02,8,single,NA,82,1951090740,0.00039968079938945363,33.98286714685859,0.008375066599174185,0.0007384434666764541,NA,NA,0.0
0.02,8,mean,NA,82,1951090740,4.996846987399088e-05,43.01303949245762,0.0013969514333987253,0.00010777981177722254,NA,NA,0.0
0.02,8,maxfocus,3,82,1951090740,0.0006484485267454386,31.881244921128847,0.016712002766987023,0.0013805632924230303,2.0793038730355358,0.9999337953765275,0.0
