sigma,N,rule,window,MSE_mean,MSE_P05,MSE_P95,PSNR_mean,PSNR_P05,PSNR_P95,laplacian_variance_mean,laplacian_variance_P05,laplacian_variance_P95,dct_hf_energy_mean,dct_hf_energy_P05,dct_hf_energy_P95,selection_entropy_normalized_mean,selection_entropy_normalized_P05,selection_entropy_normalized_P95
0.01,64,single,NA,9.999638564998853e-05,9.938116623127518e-05,0.000100594209159305,40.00019117544591,39.97427021595989,40.026959111893326,0.002394328011634759,0.002380962579728005,0.002410988118808315,0.00019797701522665696,0.00019651105958513,0.00019972874892997,,,
0.01,128,maxfocus,3.0,0.000251239585921166,0.00025017408116072,0.00025214635326627503,35.99913166236511,35.98347309260764,36.01757687412832,0.007531048917216644,0.00749044725488083,0.007568659842657171,0.000584482734407188,0.000581912674896535,0.00058753067486829,0.9996803410452698,0.9996207521069177,0.9997435810990015
0.01,128,maxfocus,7.0,0.00014728944625256698,0.000146622317255525,0.00014807335675339,38.31830558635525,38.29523078554102,38.337999236533214,0.003976774021898177,0.0039471553279390795,0.00400573363578155,0.000320285430650718,0.00031838181038577,0.000322158379132625,0.9988059237133435,0.9985443938199197,0.9990270572862059
0.01,128,mean,NA,7.811686660728904e-07,7.76160956869795e-07,7.861441539441071e-07,61.07258119070032,61.04497810813074,61.100482087768455,0.00041810715104996293,0.00041753306939693003,0.00041866757133255,1.9258167416673146e-05,1.920452129154984e-05,1.9310540864769018e-05,,,
0.01,128,single,NA,0.00010001123365319934,9.95661366051489e-05,0.00010055435998163501,39.999533398839404,39.97599095604663,40.0188834417524,0.002395434030703612,0.0023815215911883202,0.002411130572455855,0.00019808962706240597,0.000196756271319545,0.00019962955038101,,,
0.02,1,maxfocus,3.0,0.0004003720414674699,0.000398530448515245,0.0004021225443223,33.97537914331562,33.956415889565314,33.99538492050707,0.00838158606174435,0.00832717983008561,0.008426439804257856,0.0007384272411799461,0.000733565761943055,0.00074334407472473,0.0,0.0,0.0
0.02,1,maxfocus,7.0,0.0004003720414674699,0.000398530448515245,0.0004021225443223,33.97537914331562,33.956415889565314,33.99538492050707,0.00838158606174435,0.00832717983008561,0.008426439804257856,0.0007384272411799461,0.000733565761943055,0.00074334407472473,0.0,0.0,0.0
0.02,1,mean,NA,0.0004003720414674699,0.000398530448515245,0.0004021225443223,33.97537914331562,33.956415889565314,33.99538492050707,0.00838158606174435,0.00832717983008561,0.008426439804257856,0.0007384272411799461,0.000733565761943055,0.00074334407472473,,,
0.02,1,single,NA,0.0004003720414674699,0.000398530448515245,0.0004021225443223,33.97537914331562,33.956415889565314,33.99538492050707,0.00838158606174435,0.00832717983008561,0.008426439804257856,0.0007384272411799461,0.000733565761943055,0.00074334407472473,,,
0.02,4,maxfocus,3.0,0.0005676996324603071,0.00056523133718426,0.000569915436100665,32.45882693166488,32.44189580150974,32.47773769936468,0.014055882778758086,0.01398385450947342,0.01413516574700892,0.0011831308240755308,0.001176918715685655,0.0011902242678752401,0.9999556670314743,0.9998743857976489,0.9999931133810084
0.02,4,maxfocus,7.0,0.0004676684224594489,0.000465450701988375,0.000469447464027895,33.300639186104405,33.28413007787825,33.32126310414676,0.010674788176062315,0.01059834924429365,0.01073781961587314,0.000918412679409683,0.000912101582721665,0.00092411280074576,0.9997813992736052,0.9993373644365461,0.9999752528218653
0.02,4,mean,NA,0.00010002910276312173,9.951073813821334e-05,0.00010058960178072,39.99876376028727,39.974469209808625,40.02130052396864,0.002395541798961039,0.00237912116711689,0.0024130055396445397,0.00019803225342681803,0.000196533988459715,0.00019977611399889502,,,
0.02,4,single,NA,0.000399958125580178,0.00039814914907732,0.000401917662544975,33.97987700493114,33.95862908130071,33.99954212201652,0.008371491961105527,0.00831022566755866,0.008421459257879519,0.0007375788838202809,0.00073223584680956,0.00074198338485457,,,
0.02,16,maxfocus,3.0,0.0007361202134176162,0.0007334435532836,0.00073982065998134,31.33052726231761,31.308735453644196,31.34633304409972,0.019606534978794627,0.01949692244748613,0.019700019080148887,0.00158982524190599,0.0015825163698955699,0.00159797232172632,0.9999091773253338,0.9998651414708423,0.9999455234467401
