condition,window,landmark_delta,actual_delta,plateau_mse,plateau_axial_error_mean,ramp_mse,ramp_axial_error_mean,hard_step_mse,hard_step_axial_error_mean,protrusion_mse,protrusion_axial_error_mean
P_MIXED,3,0.5,0.5,0.0005697687319451,0.174727973984496,0.0004476102828422,0.1722161196385356,0.000248078791865,0.47347950803896,0.0047308426344072,0.0048705481393885
P_MIXED,3,1.0,1.0,0.0005692818584734,0.165383207427395,0.0009248395346707,0.3358407447901113,0.0003796399555777,1.2374675076693606,0.0047378000503931,0.0088212353175849
P_MIXED,3,2.0,2.0,0.0026828308646444,1.0714273660923517,0.0020446174288863,0.5602468054803953,0.0007635561787519,2.172493241298749,0.0048107409131416,0.0174159455260483
P_MIXED,7,0.1,0.1,0.0001643582156897,0.1557575382001185,0.0002753980339479,0.0964420164896351,0.0003371242547562,1.219611258371754,0.0047451307404221,0.0084181951270795
P_MIXED,7,0.25,0.25,0.000234580906526,0.1697986493405294,0.0003012264278591,0.1319157965942444,0.0002874432756743,0.9932939694997271,0.004727215907519,0.0051736015674535
P_MIXED,7,0.5,0.5,0.0005702859096872,0.172598353996076,0.0004441323888704,0.1603095582495195,0.000243515930203,0.4541122214804818,0.0047268937391888,0.0059367031296548
P_MIXED,7,1.0,1.0,0.0005690786600926,0.1631417334343331,0.0009124780049807,0.3414546247538527,0.0003821329987801,1.3912645172610902,0.0047549596738117,0.0112688490072626
P_MIXED,7,2.0,2.0,0.0026829280997446,1.0379421046810096,0.002045663340072,0.546665654583275,0.0007654424897243,2.193363283252574,0.0048287936410575,0.0203065560264649
P_MIXED,15,0.1,0.1,0.0002057333538459,0.2334427695661479,0.0003392375259314,0.1670449703620222,0.0005051829963961,2.616519138567849,0.0047334098510116,0.0131490271009784
P_MIXED,15,0.25,0.25,0.0002390087791798,0.1870056318841703,0.0003643001684917,0.1702281535198717,0.0003655450884491,1.4904852549471903,0.0047339273314074,0.0116808378676994
P_MIXED,15,0.5,0.5,0.0005734615536717,0.1702846954781185,0.0004935870943583,0.1681303491794382,0.0002492569466279,0.477716142196769,0.004751662449966,0.0133121592380094
P_MIXED,15,1.0,1.0,0.0005693422343279,0.1589971243440032,0.0009273405846211,0.3745041872608358,0.0004192799511138,1.701576530595828,0.004761795741735,0.0147838436176492
P_MIXED,15,2.0,2.0,0.0026835646783673,1.0293151359019042,0.002048886827594,0.5399432205438519,0.0007668776903054,2.177805296141771,0.0048362388783266,0.0245203278776483
P_FINE,3,0.1,0.1,0.0001681579729679,0.0830198511359897,0.0002154133658272,0.0564552455707028,0.0002233172384883,0.506167214602543,0.0047200587979826,0.0089841132451814
P_FINE,3,0.25,0.25,0.0004216461774401,0.1285774333897836,0.0002968621281269,0.1042997231337999,0.0002601583325175,0.6121423574922337,0.0047838212301875,0.0043256481942305
P_FINE,3,0.5,0.5,0.0011357125626894,0.1740456175239967,0.0006207230020977,0.1551640179848993,0.0003766456443653,0.5461323300701317,0.0047673219043365,0.0048705481393885
P_FINE,3,1.0,1.0,0.0011363469147198,0.1667578392367047,0.0012871878400443,0.3374013321314137,0.0005605274668591,1.4767558348694076,0.0048010117487334,0.009618846821746
P_FINE,3,2.0,2.0,0.0027561101428794,1.33275419872915,0.0023789672847687,0.5566953678013331,0.0009397786195112,2.200695483197753,0.0048610219413379,0.018922139847648
P_FINE,7,0.1,0.1,0.0001913594599074,0.1269510461263428,0.000270750467686,0.0802355431853426,0.0003085203073212,0.9636416174082748,0.0047765754921957,0.0077656665789555
P_FINE,7,0.25,0.25,0.0004300408390668,0.1530377737517236,0.0003344031256291,0.1127389205316782,0.0002898044813041,0.7707596514512814,0.004780251230977,0.0051736015674535
P_FINE,7,0.5,0.5,0.001138620560416,0.1720332507881044,0.0006273860226348,0.15516495102267,0.0003832267362931,0.5495871633069171,0.0047673198353893,0.0053679476359929
P_FINE,7,1.0,1.0,0.0011363808781721,0.1623863120730415,0.0012794667747885,0.3509269293510761,0.000567612697368,1.6187257430237203,0.0048175012816764,0.0112688490072626
P_FINE,7,2.0,2.0,0.0027570568334363,1.3329577838478084,0.0023791859512811,0.5479372758732187,0.000938217277293,2.1988422335171305,0.0048785521620918,0.0221412754369987
P_FINE,15,0.1,0.1,0.0001874840760803,0.1204362220753591,0.0003286216509294,0.1227741416545604,0.0004422206799823,1.7917040837326277,0.0047768978579369,0.0131490271009784
P_FINE,15,0.25,0.25,0.0004291365537579,0.1525902813715628,0.0003885442111887,0.1506226325501593,0.0003231076342857,0.9841299975859958,0.0047774940025812,0.0108651771825445
P_FINE,15,0.5,0.5,0.0011412638929822,0.1727434640198938,0.000677678074697,0.1710246109801063,0.000389906721244,0.6228180836636336,0.0048075617853626,0.0133121592380094
P_FINE,15,1.0,1.0,0.0011365806482812,0.1585683716794863,0.0013022367735624,0.3925860984771762,0.0005861799716925,1.9714749436797756,0.0048360044709124,0.0147838436176492
P_FINE,15,2.0,2.0,0.0027598426449114,1.3766357233222422,0.0023827346881178,0.5492550656417629,0.0009346546299822,2.237251982745755,0.004883125166813,0.0245203278776483
