condition,window,landmark_delta,actual_delta,K,N_eff,R_Z,adjacent_overlap_mean,total_mse,sampling_mse
P_COARSE,7,2.0,2.0,5,4.6384049022459255,0.0723190195508148,0.0903987744385186,0.0020938406681407,0.0021162652126185
P_COARSE,15,0.1,0.1,81,10.60975034848946,0.8690154277964264,0.8798781206438816,0.0001936568450909,9.11228652488548e-05
P_COARSE,15,0.25,0.25,33,11.44238476904115,0.6532610676048136,0.6736754759674641,0.0002096586135787,0.0001337586270419
P_COARSE,15,0.5,0.5,17,9.500063154631356,0.4411727556099202,0.4687460528355401,0.0003154171453297,0.0002702408413023
P_COARSE,15,1.0,1.0,9,7.198253149563463,0.2001940944929485,0.225218356304567,0.0004723924950991,0.0004574075732315
P_COARSE,15,2.0,2.0,5,4.459426647513325,0.1081146704973349,0.1351433381216688,0.0021053550376546,0.0021162652126185
P_MIXED,3,0.1,0.1,81,24.646292606683225,0.6957247826335404,0.7044213424164598,0.000120680372144,9.495459152599134e-05
P_MIXED,3,0.25,0.25,33,20.70396209049137,0.3726072093790495,0.3842511846721448,0.0001670644813186,0.0001537631245969
P_MIXED,3,0.5,0.5,17,13.088239155897384,0.2301035790648598,0.2444850527564134,0.0004109886965784,0.0004080758578382
P_MIXED,3,1.0,1.0,9,8.198678559481303,0.0890357156131885,0.1001651800648371,0.0006571752939158,0.0006637110151908
P_MIXED,3,2.0,2.0,5,4.936249157998333,0.0127501684003334,0.0159377105004169,0.0025992041027053,0.0026284849583302
P_MIXED,7,0.1,0.1,81,15.419168453613796,0.8096398956343975,0.8197603943298276,0.0001525040019626,9.495459152599134e-05
P_MIXED,7,0.25,0.25,33,16.11934608018116,0.5115349672672376,0.5275204349943388,0.0001805044473231,0.0001537631245969
P_MIXED,7,0.5,0.5,17,12.408526287936173,0.270086688944931,0.2869671070039892,0.0004134885915434,0.0004080758578382
P_MIXED,7,1.0,1.0,9,7.999176339609521,0.1112026289322754,0.1251029575488098,0.0006543231777081,0.0006637110151908
P_MIXED,7,2.0,2.0,5,4.9112013222874165,0.0177597355425167,0.0221996694281459,0.0026090489848997,0.0026284849583302
P_MIXED,15,0.1,0.1,81,11.15801715401058,0.8622467018023385,0.8730247855748677,0.000193929290856,9.495459152599134e-05
P_MIXED,15,0.25,0.25,33,11.953975088450504,0.637758330653015,0.6576882784859217,0.000224208547875,0.0001537631245969
P_MIXED,15,0.5,0.5,17,10.289454471855468,0.394737972243796,0.4194090955090332,0.0004498377373186,0.0004080758578382
P_MIXED,15,1.0,1.0,9,7.543202839466074,0.1618663511704361,0.1820996450667407,0.0006750004602612,0.0006637110151908
P_MIXED,15,2.0,2.0,5,4.858170128897688,0.0283659742204622,0.0354574677755778,0.0026175262723311,0.0026284849583302
P_FINE,3,0.1,0.1,81,23.946373620677264,0.7043657577694165,0.7131703297415342,0.0001256605116278,0.0001038442786904
P_FINE,3,0.25,0.25,33,21.11709368405002,0.3600880701803024,0.371340822373437,0.0002067034972512,0.0002038421073456
P_FINE,3,0.5,0.5,17,12.994187293551256,0.2356360415558084,0.2503632941530465,0.000769162937314,0.0007719130005423
P_FINE,3,1.0,1.0,9,8.02703610205321,0.1081070997718656,0.1216204872433487,0.001079350053659,0.0010891157928915
P_FINE,3,2.0,2.0,5,4.899350077967295,0.020129984406541,0.0251624805081762,0.002936337517565,0.0029477928782066
P_FINE,7,0.1,0.1,81,15.218839056289683,0.8121130980704977,0.8222645117963789,0.0001560455813506,0.0001038442786904
P_FINE,7,0.25,0.25,33,16.64451257364169,0.4956208311017669,0.5111089820736971,0.0002256426138697,0.0002038421073456
P_FINE,7,0.5,0.5,17,12.464226684520732,0.2668101950281921,0.2834858322174541,0.0007754812924171,0.0007719130005423
P_FINE,7,1.0,1.0,9,7.874769639444763,0.1250255956172485,0.1406537950694046,0.0010767621096963,0.0010891157928915
P_FINE,7,2.0,2.0,5,4.8543758149933485,0.0291248370013302,0.036406046251663,0.0029352827787693,0.0029477928782066
P_FINE,15,0.1,0.1,81,11.28147729472873,0.8607225025342132,0.871481533815891,0.0001935798547872,0.0001038442786904
P_FINE,15,0.25,0.25,33,12.830952675359804,0.6111832522618241,0.6302827288950061,0.0002672520515109,0.0002038421073456
P_FINE,15,0.5,0.5,17,10.751451063010723,0.3675617021758398,0.3905343085618298,0.00081144042554,0.0007719130005423
P_FINE,15,1.0,1.0,9,7.528334375196526,0.1635184027559415,0.1839582031004341,0.001098632127372,0.0010891157928915
P_FINE,15,2.0,2.0,5,4.7800188142015845,0.0439962371596831,0.0549952964496039,0.0029366990272218,0.0029477928782066
