delta,s_z,C_bar,coverage_deficit,S_delta
2.0650718907307124,3.4385702499999997,0.5077103649305366,0.49228963506946344,0.2206609402384319
2.06531208518441,3.4389702,0.5076573674805597,0.4923426325194403,0.22062693465270955
2.0655522796381067,3.43937015,0.5076043781982992,0.4923956218017008,0.2205929310383623
2.0657924740918037,3.4397700999999996,0.5075513970832812,0.49244860291671877,0.22055892939850597
2.0660326685455006,3.44017005,0.5074984241350311,0.4925015758649689,0.22052492973625412
2.0662728629991975,3.4405699999999997,0.5074454593530735,0.4925545406469265,0.22049093205471804
2.066513057452895,3.44096995,0.5073925027369321,0.49260749726306785,0.22045693635700694
2.066753251906592,3.4413698999999998,0.5073395542861303,0.4926604457138697,0.2204229426462277
2.0669934463602893,3.44176985,0.5072866140001904,0.4927133859998096,0.22038895092548502
2.067233640813986,3.4421698,0.5072336818786339,0.49276631812136606,0.22035496119788145
2.067473835267683,3.4425697499999997,0.5071807579209818,0.49281924207901817,0.22032097346651736
2.0677140297213805,3.4429697,0.5071278421267541,0.4928721578732459,0.22028698773449065
2.0679542241750775,3.4433696499999997,0.5070749344954706,0.4929250655045294,0.22025300400489728
2.0681944186287744,3.4437696,0.5070220350266494,0.49297796497335056,0.22021902228083107
2.0684346130824713,3.44416955,0.5069691437198088,0.49303085628019117,0.22018504256538318
2.0686748075361683,3.4445694999999996,0.506916260574466,0.49308373942553396,0.22015106486164318
2.0689150019898657,3.44496945,0.506863385590137,0.493136614409863,0.22011708917269782
2.0691551964435626,3.4453693999999997,0.506810518766338,0.493189481233662,0.22008311550163223
2.06939539089726,3.44576935,0.5067576601025834,0.4932423398974166,0.2200491438515288
2.069635585350957,3.4461692999999998,0.5067048095983879,0.49329519040161207,0.22001517422546815
2.069875779804654,3.44656925,0.5066519672532649,0.4933480327467351,0.21998120662652842
2.070115974258351,3.4469692,0.5065991330667269,0.4934008669332731,0.21994724105778568
2.0703561687120478,3.4473691499999997,0.5065463070382861,0.49345369296171393,0.21991327752231377
2.070596363165745,3.4477691,0.5064934891674534,0.4935065108325466,0.2198793160231842
2.070836557619442,3.4481690499999997,0.5064406794537397,0.4935593205462603,0.2198453565634665
2.0710767520731395,3.448569,0.5063878778966547,0.49361212210334526,0.2198113991462279
2.0713169465268364,3.44896895,0.5063350844957074,0.4936649155042926,0.2197774437745333
2.0715571409805333,3.4493688999999996,0.506282299250406,0.493717700749594,0.2197434904514457
2.0717973354342307,3.44976885,0.5062295221602581,0.49377047783974193,0.2197095391800255
2.0720375298879277,3.4501687999999997,0.5061767532247706,0.4938232467752294,0.21967558996333134
2.0722777243416246,3.45056875,0.5061239924434496,0.49387600755655037,0.21964164280441936
2.0725179187953215,3.4509687,0.5060712398158006,0.4939287601841994,0.21960769770634345
2.0727581132490185,3.4513686499999996,0.506018495341328,0.49398150465867197,0.21957375467215567
2.072998307702716,3.4517686,0.5059657590195358,0.4940342409804642,0.21953981370490552
2.073238502156413,3.4521685499999997,0.5059130308499271,0.4940869691500729,0.21950587480764042
2.07347869661011,3.4525685,0.5058603108320042,0.4941396891679958,0.21947193798340553
