delta,model,regime,E,M
2.6409999999999996,FD,LF,0.6943796548047092,0.14281801824488166
2.6419999999999995,FD,LF,0.6942368491794334,0.14279322915633202
2.6429999999999993,FD,LF,0.6940940683526914,0.1427684211832133
2.6439999999999992,FD,LF,0.6939513123433496,0.14274359436248776
2.6449999999999996,FD,LF,0.6938085811702366,0.14271874873108042
2.6459999999999995,FD,LF,0.6936658748521451,0.1426938843258793
2.6469999999999994,FD,LF,0.6935231934078305,0.14266900118373504
2.6479999999999992,FD,LF,0.6933805368560111,0.14264409934146133
2.6489999999999996,FD,LF,0.6932379052153687,0.14261917883583464
2.6499999999999995,FD,LF,0.6930952985045483,0.14259423970359442
2.6509999999999994,FD,LF,0.6929527167421581,0.14256928198144297
2.6519999999999992,FD,LF,0.6928101599467699,0.14254430570604548
2.6529999999999996,FD,LF,0.6926676281369184,0.14251931091403014
2.6539999999999995,FD,LF,0.6925251213311017,0.14249429764198804
2.6549999999999994,FD,LF,0.692382639547782,0.1424692659264733
2.6559999999999993,FD,LF,0.6922401828053846,0.14244421580400293
2.6569999999999996,FD,LF,0.6920977511222977,0.1424191473110571
2.6579999999999995,FD,LF,0.6919553445168737,0.1423940604840787
2.6589999999999994,FD,LF,0.6918129630074287,0.14236895535947403
2.6599999999999993,FD,LF,0.691670606612242,0.1423438319736121
2.6609999999999996,FD,LF,0.6915282753495564,0.14231869036282513
2.6619999999999995,FD,LF,0.6913859692375791,0.14229353056340838
2.6629999999999994,FD,LF,0.6912436882944804,0.14226835261162019
2.6639999999999993,FD,LF,0.6911014325383946,0.14224315654368203
2.664999999999999,FD,LF,0.6909592019874198,0.14221794239577845
2.6659999999999995,FD,LF,0.6908169966596176,0.1421927102040571
2.6669999999999994,FD,LF,0.6906748165730141,0.14216746000462885
2.6679999999999993,FD,LF,0.690532661745599,0.14214219183356774
2.668999999999999,FD,LF,0.6903905321953254,0.1421169057269109
2.6699999999999995,FD,LF,0.6902484279401115,0.1420916017206587
2.6709999999999994,FD,LF,0.6901063489978387,0.14206627985077475
2.6719999999999993,FD,LF,0.6899642953863526,0.1420409401531858
2.672999999999999,FD,LF,0.6898222671234631,0.14201558266378192
2.6739999999999995,FD,LF,0.6896802642269437,0.14199020741841634
2.6749999999999994,FD,LF,0.6895382867145329,0.1419648144529057
2.6759999999999993,FD,LF,0.6893963346039327,0.14193940380302977
2.676999999999999,FD,LF,0.6892544079128098,0.14191397550453172
2.6779999999999995,FD,LF,0.6891125066587945,0.14188852959311796
2.6789999999999994,FD,LF,0.6889706308594825,0.14186306610445837
2.6799999999999993,FD,LF,0.6888287805324329,0.141837585074186
2.680999999999999,FD,LF,0.6886869556951695,0.1418120865378974
2.6819999999999995,FD,LF,0.6885451563651807,0.1417865705311524
2.6829999999999994,FD,LF,0.6884033825599188,0.1417610370894743
2.6839999999999993,FD,LF,0.6882616342968014,0.14173548624834975
2.684999999999999,FD,LF,0.6881199115932101,0.14170991804322886
2.6859999999999995,FD,LF,0.6879782144664911,0.14168433250952522
2.6869999999999994,FD,LF,0.6878365429339555,0.1416587296826158
2.6879999999999993,FD,LF,0.6876948970128786,0.1416331095978411
2.688999999999999,FD,LF,0.6875532767205007,0.14160747229050505
2.6899999999999995,FD,LF,0.6874116820740266,0.14158181779587517
2.6909999999999994,FD,LF,0.6872701130906262,0.14155614614918244
2.6919999999999993,FD,LF,0.687128569787434,0.14153045738562137
2.692999999999999,FD,LF,0.686987052181549,0.14150475154035014
2.6939999999999995,FD,LF,0.6868455602900354,0.1414790286484903
2.6949999999999994,FD,LF,0.6867040941299225,0.1414532887451272
2.6959999999999993,FD,LF,0.686562653718204,0.1414275318653096
2.696999999999999,FD,LF,0.686421239071839,0.14140175804405003
2.6979999999999995,FD,LF,0.6862798502077513,0.14137596731632462
2.6989999999999994,FD,LF,0.6861384871428302,0.1413501597170731
